split,camera,use,elevation_deg,bearing_deg,range_m,vials,bench,lab_varied,light,dark,degraded,selected_for_training
close_test,close,test,52.1,326.3,0.53,2,scatter,0,1.0,0,0,0
close_test,close,test,72.5,333.5,0.35,1,cluster,0,1.0,0,0,0
close_test,close,test,84.1,108.7,0.55,3,as built,0,1.0,0,0,0
close_test,close,test,45.4,209.1,0.53,2,cluster,0,1.0,0,0,0
close_test,close,test,43.7,276.6,0.35,1,scatter,0,1.0,0,0,0
close_test,close,test,58.9,100.0,0.71,4,as built,0,1.0,0,0,0
close_test,close,test,74.3,257.9,0.8,2,scatter,0,1.0,0,0,0
close_test,close,test,64.5,316.8,0.79,35,crowd,0,1.0,0,0,0
close_test,close,test,78.0,230.3,0.58,2,scatter,0,1.0,0,0,0
close_test,close,test,32.5,298.4,0.8,15,scatter,0,1.0,0,0,0
close_test,close,test,57.1,200.8,0.61,9,rows,0,1.0,0,0,0
close_test,close,test,45.9,244.5,0.82,43,rows,0,1.0,0,0,0
close_test,close,test,75.5,205.0,0.69,18,scatter,0,1.0,0,0,0
close_test,close,test,53.2,263.5,0.79,2,as built,0,1.0,0,0,0
close_test,close,test,48.3,200.8,0.37,9,scatter,0,1.0,0,0,0
close_test,close,test,42.0,274.9,0.49,6,scatter,0,1.0,0,0,0
close_test,close,test,79.3,48.1,0.77,22,clusters,0,1.0,0,0,0
close_test,close,test,44.5,204.9,0.83,21,cluster,0,1.0,0,0,0
close_test,close,test,72.1,81.8,0.91,1,as built,0,1.0,0,0,0
close_test,close,test,69.4,246.2,0.52,2,as built,0,1.0,0,0,0
close_test,close,test,62.7,275.6,0.89,17,cluster,0,1.0,0,0,0
close_test,close,test,36.6,157.6,0.74,41,crowd,0,1.0,0,0,0
close_test,close,test,55.7,139.1,0.95,1,scatter,0,1.0,0,0,0
close_test,close,test,81.2,24.3,0.85,6,rows,0,1.0,0,0,0
close_test,close,test,43.4,227.8,0.53,9,as built,0,1.0,0,0,0
close_test,close,test,74.3,59.0,0.55,2,as built,0,1.0,0,0,0
close_test,close,test,69.1,166.0,0.69,6,cluster,0,1.0,0,0,0
close_test,close,test,70.8,18.6,0.57,1,scatter,0,1.0,0,0,0
close_test,close,test,82.0,66.3,0.85,18,clusters,0,1.0,0,0,0
close_test,close,test,39.4,315.7,0.36,2,as built,0,1.0,0,0,0
close_test,close,test,46.5,304.1,0.54,17,scatter,0,1.0,0,0,0
close_test,close,test,39.8,320.2,0.8,14,scatter,0,1.0,0,0,0
close_test,close,test,78.5,129.7,0.59,21,clusters,0,1.0,0,0,0
close_test,close,test,59.7,97.5,0.54,13,clusters,0,1.0,0,0,0
close_test,close,test,83.1,118.6,0.97,18,scatter,0,1.0,0,0,0
close_test,close,test,40.6,13.7,0.93,2,cluster,0,1.0,0,0,0
close_test,close,test,37.4,318.8,0.47,12,as built,0,1.0,0,0,0
close_test,close,test,57.4,230.3,0.51,27,rows,0,1.0,0,0,0
close_test,close,test,33.2,224.6,0.8,3,as built,0,1.0,0,0,0
close_test,close,test,45.1,152.3,0.98,10,as built,0,1.0,0,0,0
close_test,close,test,82.2,117.3,0.4,22,crowd,0,1.0,0,0,0
close_test,close,test,45.8,82.1,0.61,2,as built,0,1.0,0,0,0
close_train,close,train,52.1,200.8,0.46,19,scatter,1,0.859,0,0,1
close_train,close,train,59.8,343.1,0.81,17,cluster,1,0.605,0,1,1
close_train,close,train,83.7,76.3,0.74,1,scatter,1,0.948,0,0,1
close_train,close,train,72.7,77.3,0.35,12,scatter,1,1.423,0,1,1
close_train,close,train,83.2,329.4,0.6,20,crowd,1,1.097,0,0,1
close_train,close,train,70.7,57.3,0.75,8,rows,1,0.602,0,0,1
close_train,close,train,39.2,2.5,0.42,67,crowd,1,0.741,0,1,1
close_train,close,train,39.0,277.1,0.97,6,scatter,1,1.12,0,1,1
close_train,close,train,79.9,116.6,0.93,7,scatter,1,0.805,0,0,1
close_train,close,train,40.9,87.3,0.67,57,crowd,0,0.949,0,0,1
close_train,close,train,84.9,88.0,0.92,5,scatter,1,0.724,0,0,1
close_train,close,train,33.1,214.8,0.57,38,clusters,1,1.417,0,1,1
close_train,close,train,72.6,250.6,1.0,38,rows,1,0.845,0,0,1
close_train,close,train,35.3,342.6,0.42,4,scatter,1,0.552,0,0,1
close_train,close,train,44.2,313.1,0.58,12,scatter,1,1.088,0,0,1
close_train,close,train,74.7,46.2,0.9,2,cluster,1,1.12,0,1,1
close_train,close,train,68.6,343.3,0.82,2,scatter,1,0.947,0,0,1
close_train,close,train,60.3,249.3,0.41,2,as built,0,1.066,0,0,1
close_train,close,train,76.6,341.3,0.5,2,scatter,1,0.573,0,1,1
close_train,close,train,77.1,206.0,0.41,2,as built,1,1.272,0,0,1
close_train,close,train,45.7,181.0,0.4,9,scatter,1,1.397,0,1,1
close_train,close,train,36.2,245.4,0.95,41,crowd,1,1.015,0,0,1
close_train,close,train,74.9,40.7,0.49,3,as built,0,0.958,0,0,1
close_train,close,train,79.9,314.4,0.54,17,cluster,0,0.902,0,1,1
close_train,close,train,46.7,285.8,0.96,5,as built,1,0.691,0,1,1
close_train,close,train,78.6,275.4,0.49,3,scatter,1,0.733,0,1,1
close_train,close,train,55.1,139.4,0.53,2,cluster,1,1.321,0,0,1
close_train,close,train,80.5,59.4,0.6,49,crowd,1,0.899,0,0,1
close_train,close,train,38.8,211.2,0.74,6,as built,1,1.442,0,0,1
close_train,close,train,71.5,42.9,0.81,25,scatter,1,1.411,0,1,1
close_train,close,train,78.6,198.4,0.53,12,scatter,1,1.171,0,0,1
close_train,close,train,37.8,206.6,0.52,16,cluster,0,1.228,0,0,1
close_train,close,train,80.4,123.7,0.41,9,crowd,1,0.662,0,1,1
close_train,close,train,84.8,298.0,0.83,2,scatter,1,1.395,0,0,1
close_train,close,train,84.1,301.1,0.44,4,scatter,1,1.053,0,1,1
close_train,close,train,49.9,184.0,0.46,5,scatter,1,1.264,0,0,1
close_train,close,train,76.0,144.0,0.99,6,as built,1,1.177,0,0,1
close_train,close,train,44.8,197.1,0.97,7,scatter,1,0.812,0,1,1
close_train,close,train,76.9,257.6,0.49,2,as built,1,0.875,0,1,1
close_train,close,train,56.2,97.2,0.52,14,cluster,1,1.441,0,1,1
close_train,close,train,41.5,144.4,0.41,10,scatter,1,1.145,0,0,1
close_train,close,train,60.6,147.1,0.64,9,rows,0,0.964,0,1,1
close_train,close,train,75.2,4.2,0.99,4,cluster,1,0.575,0,0,1
close_train,close,train,71.0,268.8,0.57,6,clusters,0,1.343,0,0,1
close_train,close,train,66.6,346.6,0.57,4,rows,0,0.869,0,1,1
close_train,close,train,60.1,343.8,0.4,3,scatter,1,0.945,0,1,1
close_train,close,train,85.0,72.1,0.84,16,rows,1,1.147,0,1,1
close_train,close,train,59.7,264.4,0.77,6,scatter,1,0.912,0,0,1
close_train,close,train,43.7,2.0,0.83,61,crowd,1,1.111,0,0,1
close_train,close,train,61.8,69.7,0.48,2,scatter,1,0.945,0,0,1
close_train,close,train,36.6,276.7,0.7,27,crowd,1,1.308,0,1,1
close_train,close,train,54.3,109.1,0.72,11,crowd,1,1.093,0,1,1
close_train,close,train,78.4,270.9,0.63,4,rows,0,0.658,0,0,1
close_train,close,train,57.2,263.4,0.4,2,cluster,1,1.073,0,1,1
close_train,close,train,79.0,96.9,0.85,40,clusters,1,1.41,0,1,1
close_train,close,train,68.2,266.5,0.68,2,scatter,0,0.741,0,0,1
close_train,close,train,38.1,25.8,0.78,29,clusters,0,1.098,0,1,1
close_train,close,train,73.7,49.5,0.99,36,clusters,0,1.024,0,1,1
close_train,close,train,52.9,104.9,0.43,18,clusters,1,1.272,0,0,1
close_train,close,train,50.0,18.1,0.77,5,scatter,1,1.257,0,1,1
close_train,close,train,33.7,257.8,0.98,5,scatter,0,0.713,0,0,1
close_train,close,train,54.6,244.8,0.92,1,scatter,1,0.899,0,0,1
close_train,close,train,53.1,224.6,0.96,31,crowd,1,1.437,0,0,1
close_train,close,train,49.1,48.9,0.52,5,as built,1,0.578,0,0,1
close_train,close,train,71.4,159.5,0.96,4,as built,1,1.058,0,0,1
close_train,close,train,42.7,50.7,0.88,4,scatter,1,1.259,0,0,1
close_train,close,train,53.8,318.8,0.78,32,scatter,1,1.189,0,1,1
close_train,close,train,48.6,245.9,0.73,12,rows,0,1.259,0,1,1
close_train,close,train,74.0,317.5,0.5,2,scatter,1,0.852,0,1,1
close_train,close,train,37.1,133.9,0.61,2,scatter,1,1.124,0,1,1
close_train,close,train,66.8,290.6,0.79,8,crowd,1,1.395,0,0,1
close_train,close,train,37.0,354.7,0.69,20,as built,0,0.747,0,0,1
close_train,close,train,38.8,326.0,0.49,12,rows,1,0.914,0,1,1
close_train,close,train,49.8,85.4,0.79,1,cluster,1,1.022,0,0,1
close_train,close,train,83.6,86.3,0.65,1,scatter,0,0.943,0,0,1
close_train,close,train,52.1,237.1,0.46,1,as built,1,1.07,0,1,1
close_train,close,train,50.7,209.1,0.66,5,as built,1,1.317,0,1,1
close_train,close,train,86.3,183.6,0.84,2,as built,0,1.144,0,0,1
close_train,close,train,30.3,106.8,0.51,27,clusters,1,0.552,0,1,1
close_train,close,train,72.7,184.6,0.94,5,scatter,0,1.443,0,1,1
close_train,close,train,70.8,270.5,0.92,28,scatter,1,0.718,0,0,1
close_train,close,train,47.4,233.4,0.79,6,scatter,1,0.676,0,0,1
close_train,close,train,66.0,42.9,0.43,0,cluster,1,0.943,0,0,1
close_train,close,train,56.0,73.6,0.95,44,clusters,1,0.702,0,0,1
close_train,close,train,70.0,289.7,0.75,2,cluster,0,0.729,0,0,1
close_train,close,train,64.2,338.0,0.63,2,scatter,1,1.228,0,0,1
close_train,close,train,40.4,354.7,0.55,7,scatter,0,1.088,0,0,1
close_train,close,train,84.7,300.4,0.72,3,cluster,1,0.826,0,0,1
close_train,close,train,84.5,208.8,0.82,2,scatter,0,0.671,0,1,1
close_train,close,train,51.5,171.5,0.42,2,as built,1,0.716,0,0,1
close_train,close,train,52.6,72.5,0.71,6,as built,0,0.821,0,0,1
close_train,close,train,60.7,6.2,0.35,1,scatter,1,0.836,0,0,1
close_train,close,train,40.9,319.6,0.72,29,cluster,1,1.013,0,0,1
close_train,close,train,42.5,54.2,0.49,1,scatter,1,0.713,0,1,1
close_train,close,train,40.9,150.6,0.85,43,rows,1,0.661,0,0,1
close_train,close,train,77.5,95.1,0.65,1,scatter,1,1.414,0,0,1
close_train,close,train,59.8,332.5,0.71,6,scatter,1,0.887,0,0,1
close_train,close,train,53.2,73.3,0.6,25,clusters,1,1.004,0,0,1
close_train,close,train,65.3,335.8,0.87,7,scatter,1,1.275,0,0,1
close_train,close,train,36.6,100.0,0.73,10,clusters,0,0.615,0,1,1
close_train,close,train,78.2,330.1,0.84,2,scatter,1,0.608,0,1,1
close_train,close,train,78.9,332.3,0.72,1,scatter,0,0.887,0,1,1
close_train,close,train,61.6,35.2,0.36,11,rows,1,0.91,0,0,1
close_train,close,train,75.9,334.1,0.93,7,scatter,1,0.915,0,1,1
close_train,close,train,42.8,61.0,0.53,3,scatter,0,0.809,0,0,1
close_train,close,train,77.0,217.0,0.87,2,scatter,0,0.966,0,0,1
close_train,close,train,83.2,107.4,0.75,7,clusters,1,0.639,0,0,1
close_train,close,train,38.5,194.6,0.4,8,as built,1,0.666,0,0,1
close_train,close,train,52.1,87.2,0.76,3,scatter,1,0.961,0,0,1
close_train,close,train,42.1,51.9,0.58,7,crowd,1,1.13,0,0,1
close_train,close,train,83.1,76.1,0.38,2,scatter,1,1.163,0,1,1
close_train,close,train,61.3,9.1,0.88,5,scatter,0,0.784,0,0,1
close_train,close,train,36.1,63.7,0.62,4,as built,1,0.724,0,1,1
close_train,close,train,79.8,24.9,0.47,14,scatter,1,0.944,0,0,1
close_train,close,train,36.2,309.0,0.84,19,rows,1,0.644,0,0,1
close_train,close,train,52.2,60.4,0.89,4,scatter,1,0.865,0,1,1
close_train,close,train,75.2,55.1,0.55,17,rows,0,0.886,0,1,1
close_train,close,train,81.4,352.9,0.79,16,clusters,1,1.326,0,0,1
close_train,close,train,35.9,137.5,0.61,5,as built,1,1.354,0,0,1
close_train,close,train,71.1,48.4,0.69,12,crowd,1,1.297,0,0,1
close_train,close,train,68.1,331.0,0.38,1,scatter,0,1.145,0,1,1
close_train,close,train,64.9,138.2,0.37,2,scatter,1,1.39,0,0,1
close_train,close,train,45.9,132.4,0.83,4,scatter,0,1.204,0,1,1
close_train,close,train,80.7,222.1,0.58,3,as built,1,1.176,0,0,1
close_train,close,train,79.8,143.2,0.81,16,rows,1,1.251,0,0,1
close_train,close,train,56.2,273.7,0.81,2,scatter,0,1.186,0,1,1
close_train,close,train,80.6,356.9,0.94,7,scatter,1,1.065,0,0,1
close_train,close,train,78.9,320.2,0.77,23,scatter,0,1.252,0,0,1
close_train,close,train,71.7,227.9,0.93,5,as built,0,0.728,0,0,1
close_train,close,train,47.9,245.0,0.73,43,rows,0,0.722,0,0,1
close_train,close,train,33.1,33.3,0.79,7,cluster,1,1.081,0,0,1
close_train,close,train,76.6,119.3,0.51,6,scatter,0,0.952,0,0,1
close_train,close,train,86.1,343.3,0.4,1,scatter,0,0.929,0,0,1
close_train,close,train,52.7,235.0,0.94,7,as built,1,0.643,0,0,1
close_train,close,train,57.1,276.1,0.92,4,scatter,1,1.251,0,1,1
close_train,close,train,48.8,246.6,0.42,3,scatter,1,0.961,0,0,1
close_train,close,train,49.9,122.3,0.73,34,clusters,1,1.048,0,0,1
close_train,close,train,48.9,179.9,0.72,7,cluster,1,1.172,0,0,1
close_train,close,train,67.2,240.4,0.79,12,cluster,0,1.023,0,0,1
close_train,close,train,82.4,232.3,0.51,22,clusters,1,1.039,0,1,1
close_train,close,train,78.2,227.4,0.63,1,scatter,1,1.045,0,0,1
close_train,close,train,72.2,201.9,0.73,1,cluster,1,1.419,0,0,1
close_train,close,train,79.9,353.0,0.54,12,clusters,1,0.849,0,0,1
close_train,close,train,51.7,105.5,0.99,6,clusters,1,1.36,0,1,1
close_train,close,train,42.9,307.4,0.47,1,scatter,0,1.179,0,1,1
close_train,close,train,42.2,310.1,0.6,1,cluster,0,0.854,0,0,1
close_train,close,train,39.3,331.0,0.56,20,crowd,1,0.86,0,1,1
close_train,close,train,65.2,180.0,0.96,7,cluster,1,1.157,0,0,1
close_train,close,train,82.2,118.9,0.4,2,cluster,1,0.611,0,0,1
close_train,close,train,70.2,342.1,0.77,3,scatter,1,0.643,0,0,1
close_train,close,train,77.2,20.4,0.93,2,scatter,1,0.811,0,0,1
close_train,close,train,83.6,129.1,0.44,11,crowd,1,1.31,0,0,1
close_train,close,train,48.9,40.2,0.98,17,cluster,1,1.383,0,0,1
close_train,close,train,46.1,193.7,0.64,39,scatter,1,1.412,0,0,1
close_train,close,train,71.2,320.1,0.81,23,crowd,1,1.013,0,0,1
close_train,close,train,80.4,336.3,0.39,1,as built,0,0.62,0,0,1
close_train,close,train,37.7,139.4,0.82,5,as built,0,1.446,0,1,1
close_train,close,train,71.9,315.5,0.95,19,cluster,1,0.791,0,0,1
close_train,close,train,62.0,184.0,0.61,3,as built,1,1.205,0,0,1
close_train,close,train,77.7,326.9,0.54,1,as built,1,1.245,0,1,1
close_train,close,train,58.8,308.6,0.61,2,scatter,1,0.632,0,0,1
close_train,close,train,77.6,219.8,0.9,10,cluster,1,1.376,0,0,1
close_train,close,train,40.5,168.6,0.98,9,as built,0,1.326,0,1,1
close_train,close,train,76.3,338.0,0.89,6,as built,0,0.878,0,0,1
close_train,close,train,57.3,265.8,0.91,5,scatter,1,1.009,0,0,1
close_train,close,train,61.4,242.7,0.67,3,scatter,1,1.427,0,0,1
close_train,close,train,48.1,53.2,0.76,34,scatter,0,0.817,0,0,1
close_train,close,train,79.7,98.5,0.81,10,clusters,1,0.857,0,0,1
close_train,close,train,46.7,262.1,0.44,6,clusters,0,0.654,0,1,1
close_train,close,train,78.4,82.1,0.63,4,as built,0,0.626,0,0,1
close_train,close,train,37.8,116.8,0.68,12,scatter,1,0.884,0,0,1
close_train,close,train,54.5,155.0,0.94,5,as built,1,0.995,0,1,1
close_train,close,train,75.2,168.6,0.49,1,scatter,0,1.017,0,1,1
close_train,close,train,73.7,205.9,0.43,12,cluster,1,1.245,0,0,1
close_train,close,train,56.6,231.1,0.88,30,crowd,1,0.584,0,0,1
close_train,close,train,82.9,205.2,0.55,12,rows,1,0.618,0,1,1
close_train,close,train,82.5,210.6,0.77,4,as built,1,1.285,0,0,1
close_train,close,train,71.1,263.8,0.84,11,clusters,1,1.384,0,0,1
close_train,close,train,38.1,39.9,0.89,17,cluster,1,1.311,0,0,1
close_train,close,train,36.5,128.8,0.58,25,clusters,0,1.43,0,0,1
close_train,close,train,68.5,10.5,0.45,3,scatter,1,0.923,0,0,1
close_train,close,train,49.1,111.2,0.41,9,clusters,0,1.282,0,1,1
close_train,close,train,80.5,347.4,0.87,4,scatter,1,0.729,0,0,1
close_train,close,train,53.0,331.9,0.74,19,scatter,1,1.237,0,0,1
close_train,close,train,61.5,184.5,0.98,5,as built,1,1.133,0,0,1
close_train,close,train,77.4,249.6,0.66,8,rows,1,0.922,0,1,1
close_train,close,train,86.7,349.0,0.84,4,scatter,1,1.369,0,0,1
close_train,close,train,34.9,81.9,0.36,9,cluster,1,0.87,0,0,1
close_train,close,train,77.6,22.5,0.75,5,crowd,1,0.631,0,0,1
close_train,close,train,76.4,131.3,0.9,30,clusters,1,1.161,0,0,1
close_train,close,train,80.2,56.1,0.59,4,scatter,1,1.31,0,0,1
close_train,close,train,70.5,223.3,0.82,2,crowd,1,0.814,0,0,1
close_train,close,train,69.5,33.4,0.94,1,cluster,1,1.35,0,0,1
close_train,close,train,61.5,81.8,0.79,17,rows,1,0.594,0,1,1
close_train,close,train,71.4,30.4,0.52,8,crowd,1,0.646,0,0,1
close_train,close,train,73.1,40.4,0.54,3,scatter,1,0.891,0,0,1
close_train,close,train,78.9,133.3,0.91,6,scatter,1,1.033,0,0,1
close_train,close,train,73.6,66.1,0.46,9,rows,1,1.051,0,1,1
close_train,close,train,31.8,223.6,0.37,2,as built,1,1.448,0,0,1
close_train,close,train,40.4,56.8,0.64,3,cluster,0,1.285,0,1,1
close_train,close,train,67.0,345.2,0.51,5,cluster,1,0.823,0,0,1
close_train,close,train,30.3,217.7,0.65,21,clusters,1,1.08,0,1,1
close_train,close,train,79.0,163.7,0.93,17,rows,0,0.579,0,0,1
close_train,close,train,76.4,217.1,0.75,5,as built,1,1.032,0,1,1
close_train,close,train,74.2,260.8,0.47,2,as built,1,1.397,0,0,1
close_train,close,train,39.7,33.9,0.44,3,clusters,1,0.746,0,0,1
close_train,close,train,30.8,146.5,0.68,3,cluster,1,0.907,0,0,1
close_train,close,train,78.2,359.4,0.63,12,clusters,0,1.407,0,0,1
close_train,close,train,55.0,239.4,0.86,6,as built,1,1.23,0,0,1
close_train,close,train,39.2,134.1,0.45,21,clusters,1,1.333,0,1,1
close_train,close,train,65.0,288.4,0.45,2,as built,1,1.011,0,1,1
close_train,close,train,45.0,329.9,0.64,9,as built,0,1.005,0,0,1
close_train,close,train,34.4,94.5,0.68,23,crowd,0,0.577,0,0,1
close_train,close,train,75.7,354.6,0.89,5,cluster,1,1.305,0,0,1
close_train,close,train,86.5,313.5,0.52,12,clusters,1,1.172,0,1,1
close_train,close,train,54.0,261.5,0.83,6,as built,0,0.628,0,0,1
close_train,close,train,72.6,208.7,0.53,9,rows,0,1.1,0,0,1
close_train,close,train,58.1,9.9,0.5,2,scatter,0,1.389,0,1,1
